,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
0,8X SAPPHIRE RX VEGA 64 8GB HBM2,8 GB HBM2 MEMORY,16032,AMD XMR MINER V0.62B. VEGA`S WITH MODDED REGISTRY FILES.,WINDOWS 10 x64,1390 W,"Oct, 2017.",['8X SAPPHIRE RX VEGA 64 8GB HBM2']
1,8X SAPPHIRE RX VEGA 64,8 GB HBM MEMORY,16032,AMD XMR MINER V0.62B. VEGA`S WITH MODDED REGISTRY FILES.,WINDOWS 10 x64,1326 W,"Dec, 2017.",['8X SAPPHIRE RX VEGA 64']
2,8X XFX VEGA 56 AIR COOLED (V64 BIOS MODDED),8 GB HBM2 MEMORY,15700,CAST XMR,WINDOWS 10 x64,1090 W,"Nov, 2017.",['8X XFX VEGA 56 AIR COOLED (V64 BIOS MODDED)']
3,RX VEGA 64 (X8) REGISTRY MOD 1050,8 GB HBM2 MEMORY,15400,CAST MINER V0.7,WINDOWS 10 x64,1415 W,"Dec, 2017.",['RX VEGA 64 (X8) REGISTRY MOD 1050']
4,8X SAPPHIRE RX VEGA 64 8G HBM2,8 GB HBM2 MEMORY,15372,XMR STAK V2.0 + OVERDRIVENTOOL ... HELLAE + @CIRCUSDAD GUIDE (COMBINATION OF BOTH),WINDOWS 10 x64,1338 W,"Dec, 2017.",['8X SAPPHIRE RX VEGA 64 8G HBM2']
5,8X SAPPHIRE RX VEGA 64 8GB HBM2,8 GB HBM2 MEMORY,15216,"AMD XMR MINER V0.58B. HBCC ACTIVATED, 2 THREADS/GPU.",WINDOWS 10 x64,1590 W,"Oct, 2017.",['8X SAPPHIRE RX VEGA 64 8GB HBM2']
6,6X SAPPHIRE RADEON RX VEGA 64,8 GB HBM2 MEMORY,12100,"XMR STAK AMD, MEM 1100MHZ, 2 THREADS",WINDOWS SERVER 2016,2100 W,"Dec, 2017.",['6X SAPPHIRE RADEON RX VEGA 64']
7,6X POWERCOLOR RADEON RX VEGA 64,8 GB HBM2 MEMORY,12020,XMR-STAK,WINDOWS 10 x64,1150 W,"Dec, 2017.",['6X POWERCOLOR RADEON RX VEGA 64']
8,VEGA 2X SAPPHIRE 56S + 2X GIGABYTE 56S + 2X SAPPHIRE 64S,8 GB HBM2 MEMORY,12019,"CAST_XMR USING OVERDRIVENTOOL, NO AMD SETTINGS APP INSTALLED",WINDOWS 10 x64,1045 W,"Nov, 2017.","['VEGA 2X SAPPHIRE 56S', '2X GIGABYTE 56S', '2X SAPPHIRE 64S']"
9,2X SAPPHIRE RX VEGA 64 / 4X POWERCOLOR RX VEGA 64,8 GB HBM2 MEMORY,11750,"XMR-STAK-AMD, 2 THREADS, INTENSITY 2016/1800, WORKSIZE 8, PLATFORM INDEX 1, HBCC ACTIVATED (DEVCON.EXE ENABLE/DISABLE AT BOOT), OVERDRIVENTOOL PROFILE: GPU: P0(852MHZ/800MV) P1(991MHZ/900MV)",WINDOWS 10 x64,1070 W,"Dec, 2017.","['2X SAPPHIRE RX VEGA 64', '4X POWERCOLOR RX VEGA 64']"
10,6X POWERCOLOR VEGA 64,8 GB HBM2 MEMORY,11700,XMRIG-AMD,WINDOWS 10 x64,1200 W,"Dec, 2017.",['6X POWERCOLOR VEGA 64']
11,6X SAPPHIRE VEGA 56,8 GB HBM2 MEMORY,11520,XMR-STAK V2.0,WINDOWS 10 x64,780 W,"Nov, 2017.",['6X SAPPHIRE VEGA 56']
12,RX VEGA 64 (X6) REGISTRY MOD 1050,8 GB HBM2 MEMORY,11480,CAST MINER V0.6,WINDOWS 10 x64,1130 W,"Nov, 2017.",['RX VEGA 64 (X6) REGISTRY MOD 1050']
13,7X SAPPHIRE VEGA 56,8 GB HBM2 MEMORY,11200,"SGMINER HBCC (ON, 7 TIMES REPEAT) -30% CLOCK 950 MEM -20 POWER INT 1850 WSIZE 8 THREADS 2 AUG BLOCKCHAIN DRIVERS  STOCK FOLETTI BIOS",WINDOWS 10 x64,1350 W,"Nov, 2017.",['7X SAPPHIRE VEGA 56']
